Team number, Team name                                                  , Epa   , Auto EPA, Teleop EPA, Energized, Supercharged, Transition, First Shift, Second Shift, Endgame, Win Rate, Wins, Losses
       1306, BadgerBOTS                                                 , 160.42,    19.66,     103.36,    0.2288, 0.1171      , 5.16      ,       58.08,        40.12,   38.11,   0.7541,   46,     15
       2783, Engineers of Tomorrow                                      , 147.72,    26.89,      89.87,    0.4996, -0.1708     , 14.27     ,       43.1 ,        32.5 ,   29.68,   0.7561,   31,     10
       3255, SuperNURDs                                                 , 202.25,    40.47,     105.29,    0.6146, 0.1724      , 8.95      ,       47.07,        49.28,   56.22,   0.6167,   37,     23
        846, The Funky Monkeys                                          , 162.57,    35.89,      81.06,    0.4257, 0.192       , 3.64      ,       45.56,        31.86,   45.89,   0.6667,   42,     21
        503, Frog Force                                                 , 177.09,    30.74,     101.07,    0.5808, 0.2035      , 9.17      ,       52.04,        39.86,   44.11,   0.6456,   51,     28
       2073, EagleForce                                                 , 168.75,    23.31,      88.86,    0.4103, 0.1779      , 7.56      ,       43.8 ,        37.49,   56.89,   0.5887,   36,     25
        836, The RoboBees                                               , 170.99,    35.67,      94.87,    0.5135, 0.1501      , 12.37     ,       44.15,        38.34,   40.69,   0.8116,   56,     13
       2659, RoboWarriors                                               , 169.14,    23.39,     100.59,    0.4648, 0.305       , 18.33     ,       42.01,        40.25,   45.03,   0.6333,   38,     22
        166, Chop Shop                                                  , 147.39,    35.71,      83.38,    0.4835, 0.0697      , 11.74     ,       39.12,        32.52,   28.68,   0.6094,   39,     25
       2996, Cougars Gone Wired                                         , 163.96,    34.62,      88.52,    0.5327, 0.2464      , 7.84      ,       44.51,        36.17,   36.83,   0.6429,   27,     15
       3937, Breakaway                                                  , 183.35,    35.54,      96.34,    0.5754, -0.0323     , 9.6       ,       40.19,        46.55,   51.29,   0.5909,   26,     18
       1388, Eagle Robotics                                             , 158.87,    25.14,      89.32,    0.5168, 0.2299      , 6.73      ,       36.5 ,        46.09,   44.85,   0.5435,   25,     21
       4611, OZone                                                      , 155.02,    33.79,      81.65,    0.5659, 0.0438      , 5.93      ,       35.6 ,        40.12,   39.64,   0.6829,   28,     13
       4272, Maverick Robotics                                          , 142.03,    27.63,      75.98,    0.5081, 0.0787      , 13.36     ,       35.03,        27.59,   38.87,   0.7213,   44,     17
